item_id,page,from_store_number,from_store_name,to_store_number,to_store_name,sku,description,style_color,vendor,vendor_sku,category_code,category_name,from_mtd_turns_raw,from_mtd_turns,to_mtd_turns_raw,to_mtd_turns,size_grid,quantity_breakdown_json,total_quantity,report_total_quantity
24,4,2,UNLIMITED C. 2000,6,UNLIMITED Centro,233HCF,ZapPtAm4CuerLOREN W,PLAN/CAFE,MHUR,233_COFFE CUERO,504,Zap Casl Cuero Plant,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""090"", ""quantity"": 1}]",1,1
25,4,2,UNLIMITED C. 2000,6,UNLIMITED Centro,9880NV,ZapPtBrocHuleTOPMO U,PLAN/AZUL,MILO,9880_NAVY,519,Sandalias PU H,"0,0",0.0,"0,0",0.0,1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4.5 | 5 | 5.5 | 6 | 10 | 11 | 12 | 12.5 | 13 | 10.5 | 11.5 | 13.5,"[{""row"": """", ""column"": ""1"", ""quantity"": 2}, {""row"": """", ""column"": ""12"", ""quantity"": 1}, {""row"": """", ""column"": ""13"", ""quantity"": 2}]",5,5
26,4,2,UNLIMITED C. 2000,6,UNLIMITED Centro,9886BK,ZapPtBrocHuleKIDOR U,PLAN/NEGR,MILO,9886_BLACK,519,Sandalias PU H,"0,0",0.0,"0,0",0.0,050 | 060 | 070 | 080 | 090 | 100 | 110 | 120 | 130 | 140 | M,"[{""row"": """", ""column"": ""090"", ""quantity"": 1}, {""row"": """", ""column"": ""100"", ""quantity"": 1}]",2,2
27,4,2,UNLIMITED C. 2000,6,UNLIMITED Centro,10080KMRN,BotiAm4CuerCLAUDI W,TCON/AZUL,MKIN,10080_MARINO,522,Bota Casual Cuero H,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""080"", ""quantity"": 1}]",1,1
28,4,2,UNLIMITED C. 2000,6,UNLIMITED Centro,13893NVWHRD,ZapDpPtAm6PuLOREN 1,PLAN/AZUL,MKIN,13893_NAVY WHITE RED,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 115 | 120 | 130 | 140 | 150 | 060 | 050 | 040,"[{""row"": """", ""column"": ""070"", ""quantity"": 1}]",1,1
29,4,2,UNLIMITED C. 2000,6,UNLIMITED Centro,6003KSHD,ZapPtMetCuerCLAUDI W,PLAN/LADR,MKIN,6003_SHEDRON,504,Zap Casl Cuero Plant,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""080"", ""quantity"": 1}]",1,1
30,4,2,UNLIMITED C. 2000,6,UNLIMITED Centro,9515KBL,ZapTcAm4CuerCLAUDI W,TCON/AZUL,MKIN,9515K_BLUE,503,Zap Casl Cuero Tacon,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""080"", ""quantity"": 1}]",1,1
31,5,2,UNLIMITED C. 2000,6,UNLIMITED Centro,901025ZHBHBK,ZapTaAm4CueCLAUD 1,TACO/ZANA,MLUG,901025_ZANAH BRU BLK,501,Zap Vest Cuero Tacon,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""100"", ""quantity"": 1}]",1,1
32,5,2,UNLIMITED C. 2000,6,UNLIMITED Centro,UH058NVYBL,ZapDpPtAm6LonURBAN Z,PLAN/AZUL,PCAR,UH058_NAVYBLUE,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""065"", ""quantity"": 1}, {""row"": """", ""column"": ""070"", ""quantity"": 1}]",2,2
33,5,2,UNLIMITED C. 2000,6,UNLIMITED Centro,UH065BK,ZapDpPtAm7LonURBAN Z,PLAN/NEGR,PCAR,UH065_BLACK,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""075"", ""quantity"": 1}]",1,1
