source_mdb_file,source_table,target_table,mdb_file_status,before_row_count,after_row_count,row_delta,before_schema_hash,after_schema_hash,before_content_hash,after_content_hash,diff_status,key_kind,key_columns,detail_file,error
RITRNSSV.MDB,TicketHeader,ticket_header,same,1307409,1307409,0,d7fb98dd5b143c8f43b38a5f235b4c0550035eb40345faea705a7fd6dd357b11,d7fb98dd5b143c8f43b38a5f235b4c0550035eb40345faea705a7fd6dd357b11,same_by_mdb_sha256:92ac61ab0b05a26b5fad9aec63dd220f6004a7fe3db95bc054bee666ce94c1f4,same_by_mdb_sha256:92ac61ab0b05a26b5fad9aec63dd220f6004a7fe3db95bc054bee666ce94c1f4,same_by_mdb_sha256,primary,UserID|Store|BatchDate|Terminal|Ticket|RealDate,,
RITRNSSV.MDB,TicketTender,ticket_tender,same,1346154,1346154,0,a493c2d8054b57d8f91473e6f54aea0c3e5dac8b35883403ba1d1aabd54868e6,a493c2d8054b57d8f91473e6f54aea0c3e5dac8b35883403ba1d1aabd54868e6,same_by_mdb_sha256:92ac61ab0b05a26b5fad9aec63dd220f6004a7fe3db95bc054bee666ce94c1f4,same_by_mdb_sha256:92ac61ab0b05a26b5fad9aec63dd220f6004a7fe3db95bc054bee666ce94c1f4,same_by_mdb_sha256,none,,,
RITRNSSV.MDB,Transmitted,transmitted,same,0,0,0,a1b37e074dbd02dcb8ad457eee38213c0a1978a9e25a4617d4870b309aa1f396,a1b37e074dbd02dcb8ad457eee38213c0a1978a9e25a4617d4870b309aa1f396,same_by_mdb_sha256:92ac61ab0b05a26b5fad9aec63dd220f6004a7fe3db95bc054bee666ce94c1f4,same_by_mdb_sha256:92ac61ab0b05a26b5fad9aec63dd220f6004a7fe3db95bc054bee666ce94c1f4,same_by_mdb_sha256,primary,Code,,
RIRETURN.MDB,ReturnCodes,return_codes,same,9,9,0,78dda4b5e6f29d71b277ae03f85014d14345a04571200f679a37c8598e2051f8,78dda4b5e6f29d71b277ae03f85014d14345a04571200f679a37c8598e2051f8,same_by_mdb_sha256:0c93b8f788a742fa7a3e3ff67228eafb883859bf5bcdca10e81a1980d7ab6cb6,same_by_mdb_sha256:0c93b8f788a742fa7a3e3ff67228eafb883859bf5bcdca10e81a1980d7ab6cb6,same_by_mdb_sha256,primary,Code,,
RIUPC.MDB,UPC Cross Reference,upc_cross_reference,same,840659,840659,0,adfc242f26c20ce442c07120b3317fb1af4cdde17b9def1777007b04efa083cb,adfc242f26c20ce442c07120b3317fb1af4cdde17b9def1777007b04efa083cb,same_by_mdb_sha256:478240c6ec7497eea6485d6576cbe16d7a4d894a3fc59252229a5880197336b6,same_by_mdb_sha256:478240c6ec7497eea6485d6576cbe16d7a4d894a3fc59252229a5880197336b6,same_by_mdb_sha256,primary,Prefix|Number,,
RIPOMAS.MDB,Purchase Master,purchase_master,hash_differ,8240,8239,-1,4b0db429adeadf78a28af3dfb4975928019cf07e9c7ea9eac89452071d36b618,4b0db429adeadf78a28af3dfb4975928019cf07e9c7ea9eac89452071d36b618,832fc57460a082d3f90e686d4f09d66ea5f1d1e706dff7d8d695be686fb041b6,6daea4a8c3dfc435249ab76acda9edda0c71a1fa3974cb33e91f1273dafae78f,content_changed,primary,PO Number,details/purchase_master_keys.csv,
RIPODET.MDB,Purchase Detail,purchase_detail,same,205693,205693,0,fbd3b6026c441c9151a62c90de26e7a3ed7a0d7c31d3972af429df6b5f3ba137,fbd3b6026c441c9151a62c90de26e7a3ed7a0d7c31d3972af429df6b5f3ba137,same_by_mdb_sha256:965fcae44d9c2fb02ba35ee1a3c78ed7f54ba15475c68c116bd2391bba86602c,same_by_mdb_sha256:965fcae44d9c2fb02ba35ee1a3c78ed7f54ba15475c68c116bd2391bba86602c,same_by_mdb_sha256,primary,PO Number|SKU|Row|Segment,,
RIPODET.MDB,AsnCartonDet,asn_carton_det,same,0,0,0,60806674bb431015a9b23a98d4c9f3f9f626654e6703a7297a40f5f4e7c1f079,60806674bb431015a9b23a98d4c9f3f9f626654e6703a7297a40f5f4e7c1f079,same_by_mdb_sha256:965fcae44d9c2fb02ba35ee1a3c78ed7f54ba15475c68c116bd2391bba86602c,same_by_mdb_sha256:965fcae44d9c2fb02ba35ee1a3c78ed7f54ba15475c68c116bd2391bba86602c,same_by_mdb_sha256,primary,CartonNo|UPC,,
RIPODET.MDB,AsnCartonHead,asn_carton_head,same,0,0,0,f3c2523c418c2e63589fce23e25cfebd0db90e64dcf523d837de7d48a1452dd9,f3c2523c418c2e63589fce23e25cfebd0db90e64dcf523d837de7d48a1452dd9,same_by_mdb_sha256:965fcae44d9c2fb02ba35ee1a3c78ed7f54ba15475c68c116bd2391bba86602c,same_by_mdb_sha256:965fcae44d9c2fb02ba35ee1a3c78ed7f54ba15475c68c116bd2391bba86602c,same_by_mdb_sha256,primary,CartonNo,,
RIOTB.MDB,Open To Buy,open_to_buy,hash_differ,20701,20702,1,2f1b6b504cea1c9f137f14286f8d0bbe1e0826d94e37af02d1b2b36f9b171e49,2f1b6b504cea1c9f137f14286f8d0bbe1e0826d94e37af02d1b2b36f9b171e49,4ebf0dd43d2c1e3d253bfe88bcfa4ec24ce84fc3841b9df708b42ac5dc61a6c7,d78ac4dddaedcdb6977759d003a2eaa7f391e045dc644b23227c0f2d457d66f9,content_changed,primary,Store|Category,details/open_to_buy_keys.csv,
