file_name,canonical,before_present,after_present,before_path,after_path,before_size,after_size,before_last_write_time,after_last_write_time,before_sha256,after_sha256,file_status
RISTORE.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RISTORE.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RISTORE.MDB,294912,294912,2026-05-04T17:26:50.058Z,2026-05-04T17:26:51.883Z,e12c8a29ec90feb7bb9605cdcd6b69c82772f5173c75c0894fd788d8bbe5d047,e224d1a70427081f2507dc2c18d7d7859899532e9da148e43372e2df96d8b5db,hash_differ
RITAX.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RITAX.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RITAX.MDB,86016,86016,2026-05-04T17:26:50.177Z,2026-05-04T17:26:51.900Z,b41dc417cabd184064cf4e95d2767ca75f6440998223cd116c3b75ad34450135,b41dc417cabd184064cf4e95d2767ca75f6440998223cd116c3b75ad34450135,same
RITRANS - copia.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RITRANS - copia.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RITRANS - copia.MDB,6168576,6168576,2026-05-04T17:26:50.281Z,2026-05-04T17:26:52.057Z,c66a3d7e9c0b6755ef6e6ba292011c4cade99251fd234c28b33c8d8eaf4db3ce,c66a3d7e9c0b6755ef6e6ba292011c4cade99251fd234c28b33c8d8eaf4db3ce,same
RITRANS.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RITRANS.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RITRANS.MDB,1310720,1310720,2026-05-04T17:26:50.301Z,2026-05-04T17:26:52.078Z,1bc54400879afe4f790f4889f1c88521c56ee03f97bf4a6606a005c01bce922c,1bc54400879afe4f790f4889f1c88521c56ee03f97bf4a6606a005c01bce922c,same
RITRANS011926.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RITRANS011926.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RITRANS011926.MDB,2527232,2527232,2026-05-04T17:26:50.384Z,2026-05-04T17:26:52.306Z,75fc6bc96ad626e4c573512d740e2d3baab1e75c3f2745db7c2bbbbd528f7967,75fc6bc96ad626e4c573512d740e2d3baab1e75c3f2745db7c2bbbbd528f7967,same
RITRANS1.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RITRANS1.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RITRANS1.MDB,163840,163840,2026-05-04T17:26:50.395Z,2026-05-04T17:26:52.416Z,fca90f95fc701cb7acba0f53045db44a7f2cdf318bc20dc4fe335874978fb129,fca90f95fc701cb7acba0f53045db44a7f2cdf318bc20dc4fe335874978fb129,same
RITRANS12225.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RITRANS12225.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RITRANS12225.MDB,7966720,7966720,2026-05-04T17:26:50.436Z,2026-05-04T17:26:52.517Z,70f63028423118efe081d50e4955853154f7844e18d73e8dd71df7dce0d8d2bd,70f63028423118efe081d50e4955853154f7844e18d73e8dd71df7dce0d8d2bd,same
RITRANSF.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RITRANSF.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RITRANSF.MDB,200704,81920,2026-05-04T17:26:50.444Z,2026-05-04T17:26:52.528Z,35fe32e4995701c4ec13fa2a6c60c6890ec3fad6105a4cb872a8eb1ade1b3ef3,da7d7fc76167ecad4331d663a01c973f7577ae25017fe354a22901d67f89814c,size_and_hash_differ
RITRNPCK.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RITRNPCK.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RITRNPCK.MDB,86016,86016,2026-05-04T17:26:50.449Z,2026-05-04T17:26:52.539Z,4139ec25ee99eecec4a455a8f1995326db9485cf4f5356af490c5efb26dd30f5,4139ec25ee99eecec4a455a8f1995326db9485cf4f5356af490c5efb26dd30f5,same
RITRNSSV.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RITRNSSV.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RITRNSSV.MDB,2121437184,2121437184,2026-05-04T17:27:03.108Z,2026-05-04T17:27:05.189Z,92ac61ab0b05a26b5fad9aec63dd220f6004a7fe3db95bc054bee666ce94c1f4,92ac61ab0b05a26b5fad9aec63dd220f6004a7fe3db95bc054bee666ce94c1f4,same
RITRNSTC.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RITRNSTC.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RITRNSTC.MDB,9592832,9592832,2026-05-04T17:27:03.814Z,2026-05-04T17:27:05.233Z,2d2fa77c4fe7e050afa46d5d00b4c3bcc7cb6cf55d641cce0c1eb8f7f6792089,2d2fa77c4fe7e050afa46d5d00b4c3bcc7cb6cf55d641cce0c1eb8f7f6792089,same
RIUPC.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIUPC.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIUPC.MDB,162074624,162074624,2026-05-04T17:27:04.641Z,2026-05-04T17:27:05.989Z,478240c6ec7497eea6485d6576cbe16d7a4d894a3fc59252229a5880197336b6,478240c6ec7497eea6485d6576cbe16d7a4d894a3fc59252229a5880197336b6,same
RIUPLTRN.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIUPLTRN.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIUPLTRN.MDB,237568,237568,2026-05-04T17:27:04.647Z,2026-05-04T17:27:05.997Z,cc40d5842d2f84f243e242abc76eacc01ff02558fb2830bb1ddfd2c8dff4f9a9,cc40d5842d2f84f243e242abc76eacc01ff02558fb2830bb1ddfd2c8dff4f9a9,same
RIVENDOR.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIVENDOR.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIVENDOR.MDB,856064,856064,2026-05-04T17:27:04.660Z,2026-05-04T17:27:06.007Z,14bd659f888141feec2a0a347fa20572d6f5378cc79d3447751c6a70870bf8ec,14bd659f888141feec2a0a347fa20572d6f5378cc79d3447751c6a70870bf8ec,same
