from_store_number,from_store_name,to_store_number,to_store_name,sku,description,category_code,vendor,row_label,column_index,column_label,quantity,from_mtd_turns,to_mtd_turns
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,0715008SNV,CamBotUsfMlLOREN 6,321,GVIR,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,0715008SNV,CamBotUsfMlLOREN 6,321,GVIR,,5,L,2,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,0715008SNV,CamBotUsfMlLOREN 6,321,GVIR,,7,XXL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,GB22341RWH,CamBotUsfMlLOREN 6,321,GVIR,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,GB223451SWH,CamBotUsfMlLOREN 6,321,GVIR,,5,L,2,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,GB223451SWH,CamBotUsfMlLOREN 6,321,GVIR,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,GB223452RSBL,CamBotUsfMlLOREN 6,321,GVIR,,5,L,2,2.4,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,GB223452SSBL,CamBotUsfMlLOREN 6,321,GVIR,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,GB223452SSBL,CamBotUsfMlLOREN 6,321,GVIR,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,12165140BLK,CamCcaBotMlPAULM 6,322,IBLA,,5,L,1,0.0,8.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,12165140BLK,CamCcaBotMlPAULM 6,322,IBLA,,6,XL,1,0.0,8.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BKR131BK,CamCcaBotMcPAULM 6,322,IBLA,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BKR131WN,CamCcaBotMcPAULM 6,322,IBLA,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,JZ1009SSLBK,CamBotUsfMcLOREN 3,322,IBLA,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,227688ALSLBL,CamBotMlLOREN 3,323,IBLA,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,227688ALSLBL,CamBotMlLOREN 3,323,IBLA,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,227688ALSLBL,CamBotMlLOREN 3,323,IBLA,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,227688ALSLBL,CamBotMlLOREN 3,323,IBLA,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,375217Z126GY,CamCaUsfMlLOREN 6,323,CHAP,,7,XXL,1,0.0,24.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,375217Z12BKBN,CamChUsfMlLOREN 6,323,CHAP,,7,XXL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CCSF03OFWH,CamChBotMlLOREN 4,323,IBLA,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,LRL002LSWH4,CamCcaBotMlLOREN 6,323,IBLA,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,LRL002LTBL4,CamRayBotMlLOREN 3,323,GCHX,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,LRL002LTBL4,CamRayBotMlLOREN 3,323,GCHX,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,LRL002LWHBK3,CamCcaBotMlLOREN V,325,GCHX,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,LRL002LWHBK3,CamCcaBotMlLOREN V,325,GCHX,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,17947PMSS1M,CamCcaBotMcPAULM  A,328,IBLA,,5,L,1,0.0,4.8
