diff_type,key_columns,key_values_json,before_row_hash,after_row_hash,changed_columns
changed,Store|Category,"[""V:2"",""V:331""]",c9fe0d5111ad144852724dbc94b509caba9d4a23a0a366b2384ff0e6ca754f57,ecaeb33ee56487240c248931f72293e6f5b350568142079447cc8ffb0367cc56,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:332""]",cd099e37f633d77379dad416c408706af1217ec0e1693cebbefdbbda91d98b74,31009d15702ebc6d7256e43d73c619920974bd083fbf1a9b1b211ad1fdb8eb69,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:333""]",0d415cdb81fd4f7ae508f31bbc1dec07db2a8ec09c24ef9940c74be521d03ae1,be4e2911fb782c3b1bd7a2f96986bf55eaa49a396cfe348fde28732bc74b14f6,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:334""]",a8002bcd13627d6d8166d77306175a0918349c745a26138a7bd4b40a9ac7752d,0d1b91f863603d0b49ff5d243e962872d70febeeeb2e4995d2eed7735fbfa1a4,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:335""]",cddf69ed51196a6edb90ad3780e35be446bb447a06567cb1ab8c4624f79d945a,9abc0bf5f94c4e950c83caa5b864d837d42b6fee27f4ff5a5509817ed543ee5d,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:336""]",bdf30a561e56f35c3bd35ce06a915b480b4bcf833d235b1fbc866c8bd16766f3,7dd6d9f6d6c280fde791f71c24d2b9e16c4acd9b770d7c92efaf264cc8dd9aee,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:338""]",d91118c8f4310be47291d025949cac219a459a09deffe904758c66e42e66a74a,776b0d03361489fefe30051f5ca56a5a3eeb53bd04f57de019785a93646debcc,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:341""]",daa54f2eebd7299c18294b919fdc9810518b2e0a6a3442193c17f031eaeabb17,8ad32e1c7d09a524fc613bf486f85a54be3b440347313802c80c496621f7f566,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:351""]",9f7bc0a0198d9d5e2f37260421fc580da7f560acc64072c97bcf856e4f325eaa,c9d8bec8d8bdabc5c703238e9c8192d81a3dd9b456f4a55f1488285047e46490,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:352""]",dd024ad56f407c7b04a4815ccc2aec5969040201bf71a2020e49b4dbe46255b8,06a9616fc0355c4c10bbd41437b8070d61e78ebf46cde6a36d1364791cc48673,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:355""]",2a71d24630cd4d90316d4cd1235ffd0dfa824885144870315da4415b5ca8f52d,dcb820ba34a87ce704972cea85a8fee2bc324430efb3bf783ca686e46166a8b8,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:361""]",3ae0240d0d9c6af49f9e23725f88d18ae32ae60a8a1a5983e2eb5e652fe0c9e9,b1e5dba7faeaab17e038751f3a11cad67c330d59bf23cd3e8d44e7d89352734e,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:362""]",9e60b4d41ce3bab2278668c6e280936589e7cd72673488407e1118e83ad38805,90c2a5b6a542cf112571ab43d4526e6c8a8ee4347e10b58032fa0c5605b26cea,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:381""]",80e4084d9dbe7c5bad6cbc5de9eaf0eef471e98bbd3c294a36404d491eef9410,ed96261695f902c6cbced1148fefdd75f036ee3da571bcbbb551fc61c73c7045,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:382""]",4503ee4a298415d1ed2eba20fbf1458edc49c96912b06e03eb703cb791d7bdb7,79de20d085d2873080e9fdc5fb07dfaf789279175d8a8de9b50818dfcc69b011,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:383""]",35ab85be08d038564d3fe0536df3d2df074e38c188c8db1d06e9cef02f1efe03,ed97ad30b326741ab8c097359c62aa96b46cd1a7c8a71e10dc254ebc2086d3dc,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:421""]",8766cc1a34da91ef0e05a884dd7921a6e60b28a4eae411d61c79915fc04d557b,109a3b4ba746143778dfae6f624cf5731d3d0c760bb7999d7814b5a172bb51b0,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:442""]",f52dbe71f14c786850dcf3344c14104ac6b577b1e08763dca96a360001fe5753,c2269005d20d6ffbebb4117f86b7336bf4ec7a752e864095877dc62470b02051,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:461""]",f743e753f0e7b469852a31272fbd6ba10f8b5cb4ed27ec2b581157937d79eecd,ac50905bdbe4eabcb4fed11b796c57427c23a96ed425eb7bddffa452b179ddf0,Current Year Budget_04|Next Year Budget_04
