skuCode,categoryNumber,season,suffix,dimensionCode,rawCode,canonicalCode,valueCode,labelEs,colorFamilyCode,applied
1130-85-NVPU,558,4,NVPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-85-PTME,558,4,PTME,upper_material,ME,ME,me,Metalico,,false
1130-85-PWME,558,2,PWME,color,PW,PW,pw,Peltre,metallic,false
1130-85-PWME,558,2,PWME,upper_material,ME,ME,me,Metalico,,false
1232BKPT,559,B,BKPT,color,BK,BK,bk,Negro,neutral,false
1232BKPT,559,B,BKPT,upper_material,PT,PT,pt,Patent (Charol),,false
1257CMLNB,557,2,MLNB,upper_material,NB,NU,nu,Nubuck,,false
1257LBENB,557,2,BENB,color,BE,BE,be,Beige,neutral,false
1257LBENB,557,2,BENB,upper_material,NB,NU,nu,Nubuck,,false
1563-237BKSA,566,2,BKSA,color,BK,BK,bk,Negro,neutral,false
1563-237BKSA,566,2,BKSA,upper_material,SA,SA,sa,Satin,,false
1563-237FUSA,566,2,FUSA,color,FU,FU,fu,Fucsia,pink,false
1563-237FUSA,566,2,FUSA,upper_material,SA,SA,sa,Satin,,false
1563-237GDME,566,2,GDME,color,GD,GD,gd,Dorado,metallic,false
1563-237GDME,566,2,GDME,upper_material,ME,ME,me,Metalico,,false
160148DN,556,6,48DN,upper_material,DN,DN,dn,Denim,,false
16810WHPT,567,B,WHPT,color,WH,WH,wh,Blanco,neutral,false
16810WHPT,567,B,WHPT,upper_material,PT,PT,pt,Patent (Charol),,false
16811BKPT,567,B,BKPT,color,BK,BK,bk,Negro,neutral,false
16811BKPT,567,B,BKPT,upper_material,PT,PT,pt,Patent (Charol),,false
16811WNPT,567,B,WNPT,color,WN,WN,wn,Vino,red,false
16811WNPT,567,B,WNPT,upper_material,PT,PT,pt,Patent (Charol),,false
16818BEPT,568,B,BEPT,color,BE,BE,be,Beige,neutral,false
16818BEPT,568,B,BEPT,upper_material,PT,PT,pt,Patent (Charol),,false
16818BKPT,568,B,BKPT,color,BK,BK,bk,Negro,neutral,false
16818BKPT,568,B,BKPT,upper_material,PT,PT,pt,Patent (Charol),,false
16820BKPU,568,B,BKPU,color,BK,BK,bk,Negro,neutral,false
16820BKPU,568,B,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
16821BKPT,568,B,BKPT,color,BK,BK,bk,Negro,neutral,false
16821BKPT,568,B,BKPT,upper_material,PT,PT,pt,Patent (Charol),,false
16822BEPT,567,B,BEPT,color,BE,BE,be,Beige,neutral,false
16822BEPT,567,B,BEPT,upper_material,PT,PT,pt,Patent (Charol),,false
1682BEPU,586,7,BEPU,color,BE,BE,be,Beige,neutral,false
1682BEPU,586,7,BEPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1682BKPU,586,7,BKPU,color,BK,BK,bk,Negro,neutral,false
1682BKPU,586,7,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1682WHPU,586,7,WHPU,color,WH,WH,wh,Blanco,neutral,false
1682WHPU,586,7,WHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1683BEPU,585,7,BEPU,color,BE,BE,be,Beige,neutral,false
1683BEPU,585,7,BEPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1683BKPU,585,7,BKPU,color,BK,BK,bk,Negro,neutral,false
1683BKPU,585,7,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1683BLPU,585,7,BLPU,color,BL,BL,bl,Azul,blue,false
1683BLPU,585,7,BLPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1683KHPU,585,7,KHPU,color,KH,KH,kh,Khaki/Kaki,brown,false
1683KHPU,585,7,KHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1685BEPU,585,7,BEPU,color,BE,BE,be,Beige,neutral,false
1685BEPU,585,7,BEPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1685BKPU,585,7,BKPU,color,BK,BK,bk,Negro,neutral,false
1685BKPU,585,7,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1685CAPU,585,7,CAPU,color,CA,CA,ca,Camel,brown,false
1685CAPU,585,7,CAPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1685KHPU,585,7,KHPU,color,KH,KH,kh,Khaki/Kaki,brown,false
1685KHPU,585,7,KHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1686BKPU,585,7,BKPU,color,BK,BK,bk,Negro,neutral,false
1686BKPU,585,7,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1686KHPU,585,7,KHPU,color,KH,KH,kh,Khaki/Kaki,brown,false
1686KHPU,585,7,KHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1686PKPU,585,7,PKPU,color,PK,PK,pk,Rosa,pink,false
1686PKPU,585,7,PKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1688WHPT,568,B,WHPT,color,WH,WH,wh,Blanco,neutral,false
1688WHPT,568,B,WHPT,upper_material,PT,PT,pt,Patent (Charol),,false
1761BEPU,568,8,BEPU,color,BE,BE,be,Beige,neutral,false
1761BEPU,568,8,BEPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1761BKPU,568,8,BKPU,color,BK,BK,bk,Negro,neutral,false
1761BKPU,568,8,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1836-9-BKSD,576,C,BKSD,color,BK,BK,bk,Negro,neutral,false
1836-9-BKSD,576,C,BKSD,upper_material,SD,SU,su,Suede,,false
1836-9-KHSD,576,C,KHSD,color,KH,KH,kh,Khaki/Kaki,brown,false
1836-9-KHSD,576,C,KHSD,upper_material,SD,SU,su,Suede,,false
1836-9-NVSD,576,C,NVSD,color,NV,NV,nv,Azul Marino,blue,false
1836-9-NVSD,576,C,NVSD,upper_material,SD,SU,su,Suede,,false
1836-9-RDSD,576,C,RDSD,color,RD,RD,rd,Rojo,red,false
1836-9-RDSD,576,C,RDSD,upper_material,SD,SU,su,Suede,,false
1890-1A-BEPT,567,2,BEPT,color,BE,BE,be,Beige,neutral,false
1890-1A-BEPT,567,2,BEPT,upper_material,PT,PT,pt,Patent (Charol),,false
1890-1A-BKNB,567,2,BKNB,color,BK,BK,bk,Negro,neutral,false
1890-1A-BKNB,567,2,BKNB,upper_material,NB,NU,nu,Nubuck,,false
1890-1A-BKPT,567,2,BKPT,color,BK,BK,bk,Negro,neutral,false
1890-1A-BKPT,567,2,BKPT,upper_material,PT,PT,pt,Patent (Charol),,false
1890-1A-BKPU,567,2,BKPU,color,BK,BK,bk,Negro,neutral,false
1890-1A-BKPU,567,2,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1890-1A-DRDPT,567,2,RDPT,color,RD,RD,rd,Rojo,red,false
1890-1A-DRDPT,567,2,RDPT,upper_material,PT,PT,pt,Patent (Charol),,false
1890-1A-PKPT,567,2,PKPT,color,PK,PK,pk,Rosa,pink,false
1890-1A-PKPT,567,2,PKPT,upper_material,PT,PT,pt,Patent (Charol),,false
1890-1A-TPPT,567,2,TPPT,color,TP,TP,tp,Taupe,brown,false
1890-1A-TPPT,567,2,TPPT,upper_material,PT,PT,pt,Patent (Charol),,false
1890-47-BGSA,567,A,BGSA,color,BG,BG,bg,Burgundy/Vino,red,false
1890-47-BGSA,567,A,BGSA,upper_material,SA,SA,sa,Satin,,false
1890-47BGSA,567,6,BGSA,color,BG,BG,bg,Burgundy/Vino,red,false
1890-47BGSA,567,6,BGSA,upper_material,SA,SA,sa,Satin,,false
1890-47-BKSA,567,A,BKSA,color,BK,BK,bk,Negro,neutral,false
1890-47-BKSA,567,A,BKSA,upper_material,SA,SA,sa,Satin,,false
1890-47BKSA,567,6,BKSA,color,BK,BK,bk,Negro,neutral,false
1890-47BKSA,567,6,BKSA,upper_material,SA,SA,sa,Satin,,false
1890-47-GDME,567,A,GDME,color,GD,GD,gd,Dorado,metallic,false
1890-47-GDME,567,A,GDME,upper_material,ME,ME,me,Metalico,,false
1890-47GDSA,567,6,GDSA,color,GD,GD,gd,Dorado,metallic,false
1890-47GDSA,567,6,GDSA,upper_material,SA,SA,sa,Satin,,false
1890-47-SLME,567,A,SLME,color,SL,SL,sl,Plateado,metallic,false
1890-47-SLME,567,A,SLME,upper_material,ME,ME,me,Metalico,,false
1890-47SLSA,567,6,SLSA,color,SL,SL,sl,Plateado,metallic,false
1890-47SLSA,567,6,SLSA,upper_material,SA,SA,sa,Satin,,false
1895-1B-BEPT,567,2,BEPT,color,BE,BE,be,Beige,neutral,false
1895-1B-BEPT,567,2,BEPT,upper_material,PT,PT,pt,Patent (Charol),,false
1895-1B-BKNB,567,2,BKNB,color,BK,BK,bk,Negro,neutral,false
1895-1B-BKNB,567,2,BKNB,upper_material,NB,NU,nu,Nubuck,,false
1895-1B-BKPT,567,2,BKPT,color,BK,BK,bk,Negro,neutral,false
1895-1B-BKPT,567,2,BKPT,upper_material,PT,PT,pt,Patent (Charol),,false
1895-1B-RDNB,567,2,RDNB,color,RD,RD,rd,Rojo,red,false
1895-1B-RDNB,567,2,RDNB,upper_material,NB,NU,nu,Nubuck,,false
1895-1B-TNNB,567,2,TNNB,color,TN,TN,tn,Tan,brown,false
1895-1B-TNNB,567,2,TNNB,upper_material,NB,NU,nu,Nubuck,,false
1895-1B-TPPT,567,2,TPPT,color,TP,TP,tp,Taupe,brown,false
1895-1B-TPPT,567,2,TPPT,upper_material,PT,PT,pt,Patent (Charol),,false
1895-243BKNB,567,6,BKNB,color,BK,BK,bk,Negro,neutral,false
1895-243BKNB,567,6,BKNB,upper_material,NB,NU,nu,Nubuck,,false
1895-243BKPU,567,6,BKPU,color,BK,BK,bk,Negro,neutral,false
1895-243BKPU,567,6,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1895-243CPPU,567,6,CPPU,color,CP,CP,cp,Champagne,metallic,false
1895-243CPPU,567,6,CPPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1895-243GDPU,567,6,GDPU,color,GD,GD,gd,Dorado,metallic,false
1895-243GDPU,567,6,GDPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1895-243SLPU,567,6,SLPU,color,SL,SL,sl,Plateado,metallic,false
1895-243SLPU,567,6,SLPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1895-245BESD,567,6,BESD,color,BE,BE,be,Beige,neutral,false
1895-245BESD,567,6,BESD,upper_material,SD,SU,su,Suede,,false
1895-245-BGSD,567,A,BGSD,color,BG,BG,bg,Burgundy/Vino,red,false
1895-245-BGSD,567,A,BGSD,upper_material,SD,SU,su,Suede,,false
1895-245BGSD,567,A,BGSD,color,BG,BG,bg,Burgundy/Vino,red,false
1895-245BGSD,567,A,BGSD,upper_material,SD,SU,su,Suede,,false
1895-245-BKSD,567,A,BKSD,color,BK,BK,bk,Negro,neutral,false
1895-245-BKSD,567,A,BKSD,upper_material,SD,SU,su,Suede,,false
1895-245BKSD,567,6,BKSD,color,BK,BK,bk,Negro,neutral,false
1895-245BKSD,567,6,BKSD,upper_material,SD,SU,su,Suede,,false
1895-245RDSD,567,6,RDSD,color,RD,RD,rd,Rojo,red,false
1895-245RDSD,567,6,RDSD,upper_material,SD,SU,su,Suede,,false
2008-WHBKPU,556,1,BKPU,color,BK,BK,bk,Negro,neutral,false
2008-WHBKPU,556,1,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2008-WHBKRDPU,556,1,RDPU,color,RD,RD,rd,Rojo,red,false
2008-WHBKRDPU,556,1,RDPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2008-WHBLPU,556,1,BLPU,color,BL,BL,bl,Azul,blue,false
2008-WHBLPU,556,1,BLPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2008-WHOLPU,556,1,OLPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2008-WHPKPU,556,1,PKPU,color,PK,PK,pk,Rosa,pink,false
2008-WHPKPU,556,1,PKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2008-WHRDPU,556,1,RDPU,color,RD,RD,rd,Rojo,red,false
2008-WHRDPU,556,1,RDPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2009-BKPU,556,2,BKPU,color,BK,BK,bk,Negro,neutral,false
2009-BKPU,556,2,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2009-BLPU,556,2,BLPU,color,BL,BL,bl,Azul,blue,false
2009-BLPU,556,2,BLPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2009-PKPU,556,2,PKPU,color,PK,PK,pk,Rosa,pink,false
2009-PKPU,556,2,PKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2009-WHPU,556,2,WHPU,color,WH,WH,wh,Blanco,neutral,false
2009-WHPU,556,2,WHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
20262BKTE,567,B,BKTE,color,BK,BK,bk,Negro,neutral,false
20262BKTE,567,B,BKTE,upper_material,TE,TE,te,Tela,,false
20262CPTE,567,B,CPTE,color,CP,CP,cp,Champagne,metallic,false
20262CPTE,567,B,CPTE,upper_material,TE,TE,te,Tela,,false
20262SLTE,567,B,SLTE,color,SL,SL,sl,Plateado,metallic,false
