from_store_number,from_store_name,to_store_number,to_store_name,sku,description,category_code,vendor,row_label,column_index,column_label,quantity,from_mtd_turns,to_mtd_turns
6,UNLIMITED Centro,13,UNLIMITED MIRAFLORES,7145NV,ZapDpPtAm7LonaDKDA X,541,MDKD,,3,060,1,0.0,0.0
6,UNLIMITED Centro,13,UNLIMITED MIRAFLORES,7145NV,ZapDpPtAm7LonaDKDA X,541,MDKD,,4,065,1,0.0,0.0
6,UNLIMITED Centro,13,UNLIMITED MIRAFLORES,7145NV,ZapDpPtAm7LonaDKDA X,541,MDKD,,5,070,1,0.0,0.0
6,UNLIMITED Centro,13,UNLIMITED MIRAFLORES,7145NV,ZapDpPtAm7LonaDKDA X,541,MDKD,,6,075,1,0.0,0.0
6,UNLIMITED Centro,13,UNLIMITED MIRAFLORES,UH065NV,ZapDpPtAm7LonURBAN Z,541,PCAR,,5,070,1,0.0,0.0
6,UNLIMITED Centro,13,UNLIMITED MIRAFLORES,UH072NV,ZapDpPtAm6LonURBAN Z,541,PCAR,,4,065,1,0.0,0.0
6,UNLIMITED Centro,13,UNLIMITED MIRAFLORES,UH104BK,ZapDpPtAm6LonURBAN Z,541,PCAR,,7,080,1,0.0,0.0
6,UNLIMITED Centro,13,UNLIMITED MIRAFLORES,080KDBLWH,ZapDpPtAm4PuDKDA U,553,MDKD,,9,065,1,0.0,0.0
6,UNLIMITED Centro,14,UNLIMITED METROMALL,STRIPESWHNV,ZapDpPtAm5PuEAGLE 1,541,CWIT,,8,085,1,0.0,0.0
6,UNLIMITED Centro,14,UNLIMITED METROMALL,042KDBL,ZapDpPtMetLonEAGLE W,553,MITE,,15,13,1,0.0,0.0
6,UNLIMITED Centro,14,UNLIMITED METROMALL,7030KDNVRD,ZapDpPtAm6PuDKDA U,553,MDKD,,10,070,1,0.0,0.0
6,UNLIMITED Centro,28,UNLIMITED LASCASCADA,NEDLACEWH,ZapPtAm5PuEAGLE 1,553,CWIT,,3,2,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,23H284BKNP,ZapPtVelcCueLARSH 1,504,MSEL,,11,100,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,23H286BKNP,ZapPtAm5CueLARSH 1,504,MSEL,,3,060,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,2750WHT,ZapDpAm6LonSUPER W,541,MSAR,,1,35,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,7145NV,ZapDpPtAm7LonaDKDA X,541,MDKD,,3,060,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,7145NV,ZapDpPtAm7LonaDKDA X,541,MDKD,,4,065,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,7145NV,ZapDpPtAm7LonaDKDA X,541,MDKD,,5,070,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,HIGHTOPWHRD,ZapDpPtAm9PuEAGLE 1,541,CWIT,,8,085,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,UH037NV,ZapDpPtAm5LonURBAN Z,541,PCAR,,5,070,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,UH065NV,ZapDpPtAm7LonURBAN Z,541,PCAR,,5,070,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,UH072BK,ZapDpPtAm6LonURBAN Z,541,PCAR,,4,065,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,UH072BK,ZapDpPtAm6LonURBAN Z,541,PCAR,,5,070,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,042KDBL,ZapDpPtMetLonEAGLE W,553,MITE,,13,12,1,0.0,0.0
6,UNLIMITED Centro,30,Unlimited CityMall T,042KDSBL,ZapDpPtMetLonEAGLE W,553,MITE,,1,1,1,0.0,0.0
9,The Jeans Company Tg,6,UNLIMITED Centro,2750BKWH,ZapDpAm6LonSUPER W,541,MSAR,,11,40,1,0.0,0.0
12,UNLIMITED MEGAMALLSP,2,UNLIMITED C. 2000,YSZ23LA19RBKLT,ZapTaMetCueCLAUD 5,501,GYUS,,9,090,1,0.0,0.0
12,UNLIMITED MEGAMALLSP,2,UNLIMITED C. 2000,YSZ23LA22RBKLT,ZapTaAm4CueCLAUD 5,501,GYUS,,4,065,1,0.0,0.0
12,UNLIMITED MEGAMALLSP,2,UNLIMITED C. 2000,9515KBL,ZapTcAm4CuerCLAUDI W,503,MKIN,,5,070,1,0.0,0.0
12,UNLIMITED MEGAMALLSP,2,UNLIMITED C. 2000,YSZHD2313BKPU,ZapTaMetPuLOREN 5,511,GYUS,,3,060,1,0.0,0.0
12,UNLIMITED MEGAMALLSP,2,UNLIMITED C. 2000,YSZHD234BKPU,ZapTaAm4PuLOREN 5,511,GYUS,,6,075,1,0.0,0.0
12,UNLIMITED MEGAMALLSP,2,UNLIMITED C. 2000,R3081BNPU,ZapTcAm4LisLOREN 8,512,GYUS,,3,060,1,0.0,0.0
12,UNLIMITED MEGAMALLSP,2,UNLIMITED C. 2000,4509CF,ZapTcAm4PuLOREN X,513,MKIN,,11,100,1,0.0,0.0
