sku_code,dimension_code,value_code,value_label_es,assigned_by,assigned_at
1130-5-CFPU,color,cf,Cafe Oscuro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-CFPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-CFPU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-CHPPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-GDPU,color,gd,Dorado,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-GDPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-GDPU,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-GNPU,color,gn,Verde,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-GNPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-GNPU,color_family,green,Verdes,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-KHNU,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-KHNU,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-KHNU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-KHPU,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-KHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-KHPU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-LBNPU,color,bn,Cafe,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-LBNPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-LBNPU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-NVPU,color,nv,Azul Marino,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-NVPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-NVPU,color_family,blue,Azules,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-PKPU,color,pk,Rosa,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-PKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-PKPU,color_family,pink,Rosas,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5PKPU,color,pk,Rosa,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5PKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5PKPU,color_family,pink,Rosas,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-PWPU,color,pw,Peltre,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-PWPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-PWPU,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-PWSP,color,pw,Peltre,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-PWSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-PWSP,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-SLPU,color,sl,Plateado,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-SLPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-SLPU,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5WHPU,color,wh,Blanco,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5WHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5WHPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5WNPU,color,wn,Vino,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5WNPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5WNPU,color_family,red,Rojos,seed:derived:color_family,2026-05-07 05:44:06.334
1130-85-BKME,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-BKME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-BKME,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1130-85-BLKME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-DCFPU,color,cf,Cafe Oscuro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-DCFPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-DCFPU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1130-85-GDME,color,gd,Dorado,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-GDME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
